"description","rationale_1","rationale_2","rationale_3","rationale_4"
"Demand for Drone related skills are increasingly apparent in several disciplines.  These include Photography, GIS/Mapping, Agriculture, First Responder, and software development.  Federal Aviation Administration (FAA) licensing is also required of anyone flying a drone for non-hobby use.

This proposal will develop curriculum and training for instructors to become licensed commercial drone pilots. The instructors will take the knowledge, skill and abilities by to their campuses to educate train students to compete for jobs in the Unmanned Aerial Vehicle (UAV/Drone) industry.
  
Areas of focus will include flight operations, data analysis, flight programing, outfitting, repair and maintenance of Drones. The intent of this proposal is to have Instructors across all disciplines create courses in the discipline-specific uses of drones. 

The proposed activity is a joint effort between at least 10 colleges and workforce agencies in the SF Bay Area to develop curriculum and other instructional material to meet regional needs, while building on one-another's efforts and investments.  ","This proposal is to develop a regional collaboration across the entire bay area colleges to form a regional commercial drone training program, co-developing curriculum for pilot certification, and discipline specific programs.  Possible programs include Art/Photography/Film, Digital Media, Public Safety, Civil Engineering, Surveying/Mapping, Geospatial Sciences, Real Estate, Administration of Justice, Agriculture, Real Estate, and others.  
This effort will provide faculty training, software and hardware in support of Drone (Unmanned Aerial Systems-- UAS) related additions to existing curriculum and new curriculum development. 				","Does this project create NEW jobs?  Probably not.  This project will train mostly incumbent workers to use a new technology to enhance their present job.  The question is more along the lines of ""Did programs avoid teaching digital photography as it didn’t create more jobs than film photography provided?  Or do we teach hybrid maintenance to auto students only in response to new jobs? The answer is no.  But it was a necessary skill to keep current in the industry.   Sometime we incorporate new technologies just to stay current as everyone (or many) professionals need to know them.  ","Its not all about flying drones and capturing images or video.  Students need to understand best practices and regulations for flying drones, capturing sequential shots and stitching them together into a single picture or videography.  How all the basics of good photography (e.g., composition, lighting) are envisioned and captured through a drone camera while abiding by the rules and regulations of piloting this aircraft.","Instead of every college going in a different direction to get to the same point, we develop a regional approach so that all share in the knowledge, equipment, technology, abilities and skills to allow a student, regardless of their residence in the bay area, to be able to gain the knowledge skills and abilities to move forward in a job, create a new job or add skill to their resume."
"Cuesta College will be expanding Get Focused, Stay Focused throughout the  subregion to the follow up modules and assist the region in determining the best course of action to integrate into existing career counseling and outreach throughout K12.
The college will braid funding with other sources such as General Fund for staff dollars and Regional TAP funds for professional development","The project aligns with the Projects in Common at the statewide level.  San Luis Obispo County is looking at expanding Get Focused, Stay Focused to integrate with existing tools, such as middle school prep work, current outreach activities, career counseling, and the implementation of CCGI to help create a holistic approach to student career exploration using data driven curriculum.  This project would purchase materials to expand the follow-up modules and to include freshman level course content across the county as well as pilot prep materials and integrate career counseling ","The program introduces students to all LMI data in a fun and informative way so students can make a knowledgeable decision about their future based on valid information","One of the biggest needs across the region is a better understanding of career education programs and having student better informed, and college ready.  This program can help alleviate some of the remediation by identifying educational paths much earlier for students chosen career paths as well integrate career counseling across the board.","This project addesses one of the Projects in Common statewide."
"This project would upgrade equipment for  regional programs that serve the entire South Central Coast Region:  Paramedicine and Psychiatric Technology.  ","This project will allow faculty and staff purchase more technological equipment for these programs to help aligh with industry needs of tomorrow.  These funds will be braided with Perkins, Title !C as well as other resources from DSN, Health.","Careers in Health Services continue to be a need across the region and the state as the community lives longer and there are consistent employment opportunities across the SCRC.  In addition, these two programs serve the sub regional economy and Psych Tech serves the entire region as the only program available for students","This project will continue to upgrade equipment to be aligned with industry standards such as hands on mannequins, integrated electronic patient records and other technology needs for the program.","Programs in Health have consistently been a priority for the region as well as the state as employment needs have always exceeded supply due to the specialization of these career goals.  "
"Pilot a cohort of CTE students from 3 colleges in the region - Santa Barbara City College, College of the Canyons and Ventura College. These students will be required to attend 3 short Career Skills Institute courses to attain a ""Career Strategist"" Badge. The short courses will integrate 4 lessons of New World of Work, and students will be required to complete a LInkedIn profile and join their college ""group"" on LinkedIn. LinkedIn will provide 2 years of follow on data to help capture outcomes in job & skill acquisition, education acquisition and job change.","CTE students are in need of employability skills and especially career search skills. The Career Strategist Badge (part of SBCC's Career Skills Institute) gives students the tools to be successful in a job search and in ultimately landing a job. The Badge includes three short courses: (1) LinkedIn for Business; (2) Personalized Career Planning; and (3) Strategic Job Search. Students access the power of LinkedIn and gain strategic job search skills, along with a personalized career plan.","According to the National Association of Colleges and Employers (NACE) 2014 ""job Outlook"" report, what's important to employers is soft business skills including  the ability to work in a team, the ability to make decisions and solve problems, the ability to plan and prioritize work, the ability to communicate, the ability to obtain and process information, and the ability to analyze quantitative data. The Career Strategist Badge offers just one set of important skills: the ability to prepare a personal career plan, conduct a meaningful job search and to begin creating a professional network with an online presence. According to William Aruda, a Forbes Contributor, LInkedIn has become an essential personal branding tool. It has over 225 million members and is the largest professional network in the world. Your LinkedIn profile shows up first in a google search. Prospective employers use LinkedIn for recruitment. Our CTE students must have a robust and active LinkedIn profile, coupled with strategic job search skills, in order to land a job. ","This proposal affords three colleges in our region to test the power of offering CTE students training for creation of a robust and personalized career strategy coupled with a partnership with LinkedIn. The power of a LinkedIn partnership affords each college access to recently mandated job acquisition or job advancement outcomes. We will be able to track students and alumni for 2 years following their creation of a LinkedIn profile to understand our CTE students' skill attainment, job placement, and migration from one job to another. ","Our region has established a priority to get students job, and to track job placement. LinkedIn is on way to help gather the data in this pilot program. In addition, our region has declared student attainment of employability skills and digital badging a priority. With the Career Strategist Badge, students will begin the process region-wide of employability skill attainment. "
"Project 2A Outreach to Parents and Students & Project 2B Outreach to Employers - CTE Rebranding:  Work with the Chancellor's office to customize the outreach specific to the South Central Coast sectors to get in front of underserved students/families so they better understand their higher education options.  The SCCRC will work with the CCCCO identified Public Relations firm Ogilvy to do an environmental scan and set a path forward on how our region's match will be deployed.  The SCCRC will work directly with the vendor for the “customization package”.  The SCCRC will form a regional marketing committee that will work with the statewide contractor to align state, regional and local outreach and marketing efforts.","In order to provide a trained and skilled workforce, outreach and marketing efforts are needed to inform students, parents, teachers, counselors and employers about CTE career pathways and programs at the colleges. The goal is to drive enrollments in programs that will lead to jobs where there is demand and higher wages.","This proposal ties to the Chancellor's Office CTE Rebranding efforts and addresses our 3 sub-regional labor market needs.  We will work closely with employers in each of the sub-regions to refine suggested marketing and outreach. ","Investing in specific, targeted CTE program marketing materials and outreach will have a positive impact on increasing enrollments as well as educating parents, students and employers regarding guided pathways in our relevant sectors. ","The marketing and outreach strategic plan that will be developed for the South Central Coast Regional Consortium will be crafted collaboratively with Ogilvy and sub-regional employers as well as with each college.  Marketing & Outreach is a primary goal of our 3-year Strategic Regional Plan. "
"According to the AEE-Advanced Energy Economy, nationwide an estimated additional 57,000 skilled workers are needed each year to work in the Energy Efficiency industry. California’s Advanced Energy industry needs highly skilled workers--15,000 more of them every year. The Doing What Matters Energy Construction & Utilities sector team and regional EC&U Deputy Sector Navigators and Prop 39 Directors are fostering opportunities for regional collaboration that unify initiatives to build a fully-qualified workforce to meet the region’s and California’s energy efficiency mandates, with the goal of unlocking economic growth through investment in regional energy efficiency education and skills building programs. The description of this project is Year One of a multi-year plan that will address the needs of the regional economy in this sector. The plan includes industry engagement, regional advisories, curriculum enrichment/enhancement, updated equipment, professional development, career awareness and pathway development, and new and incumbent worker training. ","Energy, Construction and Utilities:  The Los Angeles Regional Workforce Plan
 According to the most recent LAEDC report, Los Angeles: People, Industry and Jobs for 2015 – 2020, as the housing market recovers, construction industries are expected to make a recovery, including many of the existing infrastructure projects that will employ thousands of workers in highway, transit, infrastructure and other projects. Finally, continuing incentives and mandates related to energy efficiency and greening of existing buildings have the potential to drive employment in retrofitting and energy efficient implementations. Together, the sector is projected to add more than 20,000 jobs between 2015 and 2020 in Los Angeles County and almost 7,000 jobs in the City of Los Angeles.  Energy Efficiency industry in particular faces serious shortfalls in developing a skilled, trained, and available labor pool over the next 20-30 years. According to the AEE-Advanced Energy Economy, nationwide an estimated additional 57,000 skilled workers are needed each year to work in the Energy Efficiency industry. California’s Advanced Energy industry needs highly skilled workers – 15,000 more of them every year.
 
In order to best meet the needs of the Energy, Construction and Utilities sector, community colleges, industry and economic development partners in LA need to work together to develop a regional workforce plan.  The Doing What Matters Energy Construction & Utilities sector team and regional EC&U Deputy Sector Navigators and Prop 39 Directors are fostering opportunities for regional collaboration that unify initiatives to build a fully-qualified workforce to meet the region’s and California’s energy efficiency mandates, with the goal of unlocking economic growth through investment in regional energy efficiency education and skills building programs.  The description of this project is Year One of a multi-year plan that will address the needs of the regional economy in this sector.  The plan includes industry engagement, regional advisories, curriculum enrichment/enhancement, updated equipment, professional development, career awareness and pathway development, and new and incumbent worker training.  
Eevidence indicates that workforce quality has become a barrier to Energy Efficiency goals for the built environment set by AB 32 in 2006 .  SB 350, the Clean Energy and Pollution Reduction Act of 2015, calls for a doubling of these goals, potentially creating thousands of new jobs but adding further concern about workforce quality related to achieving the state’s mandates.  California needs a plan to meet the SB 350 workforce challenge.

Current Situation:
Lack of Qualified Workers Leads to Poor Energy Efficiency.  
California employment totaled approximately 321,000 Energy Efficiency workers in 2015. Just under three-quarters of firms (73%) report difficulty finding qualified workers in 2015; two in 10 employers report that hiring was “very difficult.” The top two reasons for difficulty were lack of experience, training, or technical skills (44%), and insufficient qualifications, certifications, or education (31%).

Heating, Ventilation and Air Conditioning HVAC) is a good example of the workforce barrier.  40% of the Energy Efficiency workforce is employed in HVAC positions .  The California Energy Commission estimates that up to 50% of new HVAC systems  and up to 85% of replacement systems are not installed and maintained to a quality level of specification .  Significant capacity shortages exist.  The state’s training institutions supply about half of the 2,000+ new HVAC workers needed annually . 
 Citations: 
  1)UC Berkeley Don Vial Center on the Green Economy, Workforce Issues and Energy Efficiency Programs: A Plan for California's Utilities, 2015
  2)Advanced Energy Economy, California Advanced Energy Employment Survey 2016
  3)Energy Market Innovations, Inc., HVAC Educational Needs Assessment, submitted to Southern California Edison August 2012  
 4) California Community Colleges Centers of Excellence, 2016
  ","The Energy Construction & Utilities Strong Workforce to Industry Standards proposal is designed to address a burgeoning need for new entry level and replacement workers and addressing the identified skills and competencies gaps of the incumbent workforce to complete work processes to industry expected competencies and standards. An example, is that COE LMI data indicates in a segment of the Energy Efficiency workforce sector in the greater southern California four counties (Los Angeles, Orange, Riverside and San Bernardino counties) for the annual requirement for the HVAC-R industry for qualified entry level workers, the combined number of certified completers through community colleges, for-profit trade schools and registered apprenticeship programs can fill only about 50% of the demand. Other Regional targeted energy efficiency middle skills occupations include: Construction Inspectors; With over $15,000,000,000 (Billion) in Los Angeles and OC civil projects and infrastructure public investment, (LAX, Transit, Ram's Stadium, water works) there is a bourgeoning shortage of Construction related Safety & Health, Quality Assurance, Compliance, and certified inspectors and officers.  Facilities Mangers; Bridge the regional short fall of ~3,200 and statewide Facility Manager supply/demand gap of ˜6,000 workers annually through tracks for entry-level education and incumbent worker training. Advanced Lighting and Building Control’s technicians; Provide curriculum, lab equipment, and faculty professional development to integrate latest manufacturers’ technology into electrical programs. Energy Auditors and Analytics technicians; Develop an additional career entry-point/pathway for students in energy consulting & analysis to meet CA statewide policy demands for auditing of commercial buildings. Building Science; Establish a sustainable relationship between Building Science-related community college programs of study with industry partners (government, employers, high schools) so a pipeline of incoming students can be educated, trained, and placed into jobs.","The Regional Community Colleges, The Doing What Matters Energy Construction & Utilities sector team and regional EC&U Deputy Sector Navigators and Prop 39 Directors are fostering opportunities for regional collaboration that unify initiatives to build a fully-qualified workforce to meet the region’s and California’s energy efficiency mandates, with the goal of unlocking economic growth through investment in regional energy efficiency education and skills building programs.  The description of this project is Year One of a multi-year plan that will address the needs of the regional economy in this sector.  
The specifics of the plan includes industry engagement, regional advisories, curriculum enrichment/enhancement, updated equipment, professional development, career awareness and pathway development, and new and incumbent worker training. 
 Activities will include:  College program scan and development of a regional industry advisory; Enhanced and enriched curriculum and equipment: Professional development; Increased Career Awareness and Career Pathway Development;Incumbent Worker Training 
1. Industry engagement, college program scan and development of a regional industry advisory – Industry will be engaged in a process to evaluate how well the region’s education/training programs are aligned with industry needs. This involves not only looking at gaps between supply and demand, i.e. growth and replacement numbers compared to the pipeline (projected completers), but also looking at skills gaps and the need for up-skilling of the workforce.  This will be accomplished by exploring the current curriculum within the existing programs of study, including looking at course outlines, student and program learning outcomes, skills assessment tools & processes, existing tools & equipment, and assessing the needs for faculty professional development.  The goal of this process is to look regionally at the totality of what is offered and to identify gaps in supply and skills.  This will provide a clearer picture of what is needed (demand) and what is out there (supply).  Industry will identify specific needs for new or updated equipment, enhanced curriculum, and faculty professional development, all of which will be addressed in Year One.  They will also identify, the need for new programs of study (certificate and degree programs), which will be vetted for inclusion in subsequent Strong Workforce Projects in Years Two and Three. 
 
The added value of having the regional partners in this sector engaged in this process and working alongside educators, is that it will result in the development of a Regional Industry Advisory.  This will serve the needs of colleges, which are required to have actively engaged industry advisories as part of their Perkins programs, and will also serve the needs of industry, which can remain engaged with education partners without having to attend multiple single college advisory meetings.  
 
Enhanced and enriched curriculum and equipment – Based on the above analysis, the immediate and most critical needs for program enhancement and equipment upgrades will be addressed in Year One.  According to industry analysis and data, there are several areas of specific need for enriched program development and expanded industry certifications.  This might translate to the need for more colleges to offer the certificate and degree programs or for expanding the content of the curriculum and certificate programs that are currently offered.  This includes expanding the use of industry valued third party, evidence based, assessments and credentials.  This initial list includes Advanced Lighting Professionals, Construction Inspection Technicians, Building Sciences, Energy Auditing and Analytics and Facilities Management.  This list will very likely be expanded or perhaps changed, as we will have sustained industry engagement throughout the process.   Through a strategic approach which will consider geography, immediacy of the need and college capacity, additional colleges will enrich or develop courses and certificates.   In Year 1, the focus will be on planning, however some curriculum will be developed and faculty professional development provided in areas prioritized by industry or the college partners.  Plans for Years 2 and 3 will be developed and vetted by all partners.   
 
Colleges will immediately access the Strong Workforce funds to purchase recommended upgrades and new equipment.   Programs cannot be enriched or expanded to meet industry needs until they have state of the art equipment that meets industry standards. Colleges will also be able to purchase equipment they feel adds value to the related programs of study. 
 
Professional development - Faculty will need professional development and, in some cases, additional training to develop new course outlines and lesson plans and learn to use and teach with the new equipment purchased.  In some cases faculty will offered externships to further develop their skills.  Faculty externships will likely be developed and funded in Year 2 . 
 
Increased Career Awareness and Career Pathway Development – Strengthening the pipeline must include strengthening the partnerships with K-12 and adult education partners.  The project will begin by having the colleges identify the related high school career pathway programs (STEM/STEAM Pathways, environmental/sustainability, and anything related to construction), and well as traditional education partners who are not yet aligned into pathways.   Young people have been overly conditioned to think of the trades as a lesser calling compared to the more popular career paths – this must be addressed.  The project will focus on strategies to engage students in engaging and innovative career awareness activities related to the sector, including online career awareness tools, videos, campus visits with hands-on activities and classroom presentations.  Industry will be engaged to provide career awareness and classroom discussions to increase enthusiasm for the related careers. The colleges will develop a regional approach, capitalizing on best practices.  This will increase the number of students who enter into the pipeline.

Work Experience and Internship - Having the opportunity to have hands-on experience in an industry setting is an important experience to increase the skills and job readiness of students.  Working closely with industry partners, the Chamber, workforce system and others, the Regional Workforce Plan will develop a repository for work experience and internships (paid and unpaid) in the region and a process to match qualified students. Electronic/online internship and placement systems will be evaluated (LaunchPath, Viridis, and others) for implementation in subsequent years.   
   
Incumbent Worker Training – As a result of #1 above, industry will also have identified the need for current worker training and up-skilling.  To meet that need, colleges will work with industry to develop non-credit training to meet the specific needs of the industry partners engaged in the process.
","Los Angeles County Economic Development Corporation (LAEDC) 2016 published the second edition of the annual report, People, Industries and Jobs.  The report provides occupational forecasts and industry growth forecasts for the region. The report offers findings for both the City of Los Angeles and County of Los Angeles, and was sponsored by the Workforce Development Boards (WDBs) of both the County and City of Los Angeles. Findings of the report include:
Employment growth of 1.5 percent annually over the next five years is expected to add 346,100 jobs in Los Angeles County and 122,700 jobs in LA City, across a broad range of industry sectors.
Industry sectors with the highest projected growth rates (in percentage) are construction,The industry, which currently employs more than 313,000 workers across Southern California, is expected to generate 95,000 job openings during the next five years, including as many as 30,000 for skilled trade workers and  professional and business services, education and health care services, and leisure and hospitality.
Middle-skilled occupations (those requiring more than a high school credential but less than a bachelor’s degree) with the greatest hiring potential are in the sectors of; health, transportation, construction and energy 
According to a 2015 Los Angeles County Economic Development Corporation (LAEDC) Business Climate Survey, fifty-nine percent (59%) of C-level executives in L.A. County find it difficult to fill key positions. Since more than half of the businesses surveyed are planning on expanding their operations within the next 24 months, the difficulty of finding top talent is compounding as employers are increasingly struggling to find workers who possess the necessary skills to fill job openings. Unfortunately, this regional skill gap is projected to grow, not dissipate. The economic leadership of the region are forming sector-based partnerships between community and four-year colleges, as well as regional workforce system partners, such as Workforce Development Boards and labor union apprenticeship and labor management training programs, to train and place talent in key clusters. Finding specific to the Energy/Construction sector include: near term trends include increased urban densification, improved energy-efficiency of buildings, continued adoption of technological enhancements such as advanced building controls and building information modeling. ? The construction industry continues to improve efficiency and capability through advances in technology, modeling and innovative processes.
"
"This is a regional collaboration of Santa Rosa Jr. College (SRJC) Career & Technical Education and Economic Development Division, the Sonoma County Office of Education (SCOE), the Career Technical Education Foundation (CTEF) of Sonoma County to develop and execute a regional marketing/communications plan to promote and brand career technical education to all K-14 stakeholders as a viable and desirable educational and training strategy leading to rewarding careers in Sonoma County's high-demand, high growth industries.","Regionally, the three stakeholders of this proposal have identified a weak and confusing message surrounding the marketing and communications surrounding Career and Technical Education (CTE) offerings, employment and opportunities in the County.  The message needs to be clear and inclusive for all of 
K-14 students, family, education and industry partners.  This proposal will develop and execute a viable marketing and communication plan while branding CTE throughout the country.","Regional studies by our economic development board have shown that there is a need to retain and attract talent for all positions within the county.  This proposal will help to inform, educate and deliver a comprehensive message and branding so that citizens and employers alike will understand what is available to them within the region.","This proposal will Improve perception of career technical education, increase awareness of career technical education opportunities, Increase enrollment and completion in SRJC CTE programs and increase industry engagement in, and employment from, SRJC CTE programs.
","Branding, marketing and communication around CTE is a priority for industry groups associated with the K-14 educational partners.  This proposal will address that goal."
"Proposal to develop a business plan for a maker's space.  The plan will yield financials, an operational study, equipment/tool/facility needs, plans for community engagement, methods for integrating into curriculum, and opportunities to braid funding sources. 			","The needs this proposal addresses are opportunities for an inclusive environment where students, entrepreneurs, inventors, and hobbyist alike can build a community within an academic setting that is innovative, proactive, and most importantly mentally stimulating. By facilitating access to tools people of all ages can acquire a deep knowledge about the machines, materials, design process, and the engineering that goes into invention and innovation. Makers gain invaluable skill-sets that can be implemented directly into the workforce. This we believe to be the direst need in our communities and in our region. 
Industries of economy have historically coexisted between local entrepreneurship and global markets. Our vision is that by creating a platform where individuals have exposure to advanced manufacturing training, they will be empowered to make a difference in their communities and to the world by the expression of their natural talents, abilities and skills. By teaching new technology, and introducing hands on skilled trades, we can increase enrollment and promote employment opportunities by establishing relationships with industry and partners while the duration of the curriculum.  
Maker’s space inspires the next generation of entrepreneurs, engineers, and innovators. It is transforming current educational curriculum, business models, and global organizations by broadening opportunities to access global markets, global networks, and global education. ","In our region, advanced manufacturing is a priority economic sector with constant demand for labor. By having a localized space where students can learn different industrial high-tech equipment they are better suited to incorporate and adapt themselves in the fast pace workforce. The use of the space, as well as the exposure to the work of other users allows for an increased learning experience that is versatile and adaptive. ","We have identified the need to be the lack of access to resources, and we address it by providing a physical space that is equipped to cater to the needs of our users. We additionally propose adopting workshops that are designed to address challenges that maker’s face in their design, use of software, and use of equipment. We have actualized student initiated workshops in our FabLab that catered towards communal needs and demand. These workshops were successful in student’s satisfaction and productivity. Equivalently, implementing short intro classes as well as bridge classes into our curriculum can prove favorable to the career path and success of students, faculty, and other space users. The inclusion of such classes is perceived to be desired opportunities for community members as well as for industry partners. ","Engineering and advanced manufacturing is a priority sector established by our region. By equipping our students to discover and broaden their interest within these industries we alleviate the demand to the labor force as well as we stimulate local entrepreneurship. We are certain that by enabling people to the equipment and resources offered in maker’s spaces, opportunities for monetary compensation and lucrative employment opportunities increases. "
"Funding this project will regionalize a Workforce Education Research Center (WERC) (Ideally this should be across both LA and Orange counties; however, the center will start with the 19 Los Angeles County regional colleges). The primary objective of WERC is to bridge the gap between county economic/workforce demand data and the workforce supply in order to increase alignment and inform regional workforce education, practice, and policy; the required and preferred occupational competencies necessary for instructional course/program development; the county’s economic growth; and social justice issues that impact students and the workforce. Social justice issues could include educational attainment of populations in sub-regions of the county, wage parity, and negative impacts of sub-regional economic development such as gentrification.
The LAWERC (pronounced L.A. Work) will:
1.	Research and publish labor market supply and demand data informed by industry sector/cluster analysis, along with the industry specific staffing patterns and human capital supply chains, in relation to workforce education in the region. Industry sector/cluster analysis will be informed by and co-researched with Los Angeles Economic Development Corporation (LAEDC), the Los Angeles Chamber of Commerce, and other county workforce stakeholders.
2.	Provide research to inform the identification of employers necessary for regional industry advisory groups in order to apprise colleges of necessary occupational skills, workforce education performance objectives, workforce education performance criterion, and potentially inform a regional model curriculum and program design for regional adoption, program development, or program modification. 
3.	Research and publish regional studies focused on the impact, relationship, correlation, etc. that local, regional, and statewide workforce education and other policies have on educational access, social mobility, socio-economic status, social justice/classism, student success, workplace success/persistence, etc.  
","The project primarily focuses on informing and developing regional curriculum and the development of regional programs. Additionally, the project will inform policy and practice in workforce education through established relationships with the LAEDC, the Southern California Leadership Council, the LA Chamber of Commerce and others. LAWERC will facilitate the LAOCRC shifting from a reactive model of program approval to a proactive one. The current Center of Excellence for Labor Market Research (COE) would continue; however, it will become a partner to the larger LAWERC where it assists to bridge the gap between demand and supply in the county. LAWERC will partner with the COE, LAEDC, colleges, DSNs, faculty, and regional WDBs to identify high demand, high growth, low supply occupations and occupational clusters in the region in order to develop robust occupational competencies and programs needed for county economic viability and class mobility of its residents. The project aims to decrease time of program development through the regionalization of program curriculum.","The primary objective of the LAWERC is to bridge the gap between county workforce demand and supply data in order to increase alignment and inform regional workforce education, practice, and policy, the required and preferred occupational competencies necessary for instructional course/program development, the county’s economic needs, and social justice issues that impact students and the workforce.","The COE and LAEDC will assist with identifying the scope of a LA county community college regional response to market demands (# of colleges, who/where) and the recommended existing regional resources to be leveraged. Regional model curriculum, occupational performance objectives, and/or competencies will be developed based upon the research of the LAWERC. 
LAWERC will partner with the LAOC COE, LAEDC, colleges, DSNs, faculty, and regional WDBs to identify high demand, high growth, low supply occupations and occupational clusters to inform the development of robust occupational competencies and programs needed for county economic growth and class mobility of its residents. Similar program approval paths would be developed for: high demand, high growth and strong supply (multiple colleges already have similar programs w/ curricular alignment) and low  demand occupations with low/zero supply or emergent occupations. 
","There are currently 28 instructional programs among the LA County colleges where 10 or more colleges have a similar program. Most important is that often these programs each have very unique curriculum (objectives, units, courses, targeted credentials) yet are only 10-15 miles apart geographically. The region has set a goal to begin regionalizing key advisories and ultimately core curriculum under the LAWERC project in partnership with key colleges, key faculty, and DSNs. The goal is to regionalize 2-3 industry advisories during this project’s initial funded term in order to regionalize curriculum, occupational performance objectives, and competencies.   "
"The Santa Cruz/ Monterey area does not have a paramedic program. Students have to travel to out of the region to take EMT courses. Every fire truck and every ambulance has to be staffed with a paramedic. The Santa Cruz/Monterey area is under serviced. The four colleges in the area are looking into establishing a paramedic program to serve the Santa Cruz Monterey counties.","The proposal addresses the need to service the area by providing paramedic training.","The proposal aims to create a paramedic training program if LMI shows a need for a subregional paramedic program. ","The proposal aims to create a paramedic program.","Public Safety was one of the sectors identified in regional joint proposals. "
"Sub-Regional Wine & Human Resources  Management program and curriculum development. The Wine program will lead to Sommelier 1 certification. The Human Resources Management program and curriculum development will meet Lodging, HR, and general/operations manager  labor market demand  and further align with CSUMB's Sustainable Hospitality Management program.
Monterey Peninsula College and Cabrillo will collaborate on tis project.","Wine Sommelier 1 program will Increase the  living wage for  Waiters/Waitresses and Bartenders; HRM program development will help  fill the  Labor market demand for  Lodging managers, human resources managers, general/operations managers, First-Line Supervisors of Food Service  personnel, and First-Line Supervisors of Administrative personnel.
","Retail/Hospitality/Tourism is a priority sector for  the  Bay region  and Santa Cruz/Monterey
sub-region;  Wine Sommelier 1 program will increase the Living wage for  Waiters/Waitresses (346 annual openings) and Bartenders (61 annual openings) which represent the  majority of entry-level food/beverage service  positions; HRM program development will help  fill the Labor market demand for  Lodging managers (8), human resources specialists (25), general/operations managers (77),First-Line Supervisors of Food Prep/Service (100), and First-Line Supervisors of Office/Administrative workers (96).

","Monterey Peninsula College  and Cabrillo College will collaboratively develop a Wine Sommelier 1 program that will include 2-3  courses, a summer workshop review, and certification testing. The summer workshop review and certification testing will alternate between MPC and Cabrillo campuses. The HRM program development will provide students with foundational human resource management principles/theories and experiential Learning to prepare them for  entry-level front or back office administrative support opportunities and/or transfer to CSUMB's Sustainable Hospitality Bachelor's degree program.
","Retail/Hospitality/tourism is a priority sector for  the  Bay region  and Santa Cruz/Monterey
sub-region; Wine Sommelier 1 program will increase the Living wage for  Waiters/Waitresses (346 annual openings) and Bartenders {61 annual openings) which represent the  majority of entry-Level food/beverage service  positions; HRM program development will help  fill the labor  market demand for  lodging managers {8), human resources specialists (25), general operations managers (77),First-Line Supervisors of Food Prep/Service {100), and First-Line Supervisors of Office/Administrative workers (96)."
